"player_name","position"
"Jaylen Johnson","SG"
"Lauri Markkanen","C"
"David Nwaba","SF"
"Cedi Osman","PF"
"Ante Zizic","C"
"Dwight Buycks","PG"
"Luke Kennard","SF"
"Ike Anigbogu","C"
"DeQuan Jones","SF"
"T.J. Leaf","C"
"Ben Moore","PF"
"Edmond Sumner","SF"
"Damien Wilkins","SG"
"Sterling Brown","SF"
"Kendall Marshall","PG"
"D.J. Wilson","C"
"Tyler Cavanaugh","PF"
"John Collins","C"
"Tyler Dorsey","SG"
"Jordan Mathews","SG"
"Dwayne Bacon","SF"
"Terry Henderson","SG"
"Isaiah Hicks","PF"
"Mangok Mathiang","C"
"Malik Monk","SG"
"Luke Petrasek","SF"
"T.J. Williams","PG"
"Bam Adebayo","C"
"Larry Drew II","PG"
"Erik McCree","SF"
"Derrick Walton Jr.","PG"
"Matt Williams","SG"
"Khem Birch","C"
"Troy Caupain","PG"
"Jonathan Isaac","PF"
"Wesley Iwundu","SF"
"Kalin Lucas","PG"
"Carrick Felix","SF"
"Devin Robinson","SF"
"Donald Sloan","PG"
"Michael Young","SF"
"Josh Childress","SF"
"Torrey Craig","SF"
"Tyler Lydon","PF"
"Monte Morris","PG"
"Amile Jefferson","C"
"Justin Patton","C"
"Melo Trimble","PG"
"Norris Cole","PG"
"Terrance Ferguson","SF"
"Dakari Johnson","C"
"Isaiah Briscoe","PG"
"Zach Collins","C"
"Caleb Swanigan","C"
"Tony Bradley","C"
"Eric Griffin","C"
"Donovan Mitchell","SG"
"Nazareth Mitrou-Long","PG"
"Royce O'Neale","SF"
"Ekpe Udoh","C"
"Jordan Bell","C"
"Chris Boucher","C"
"Antonius Cleveland","SG"
"Alex Hamilton","SG"
"Jawun Evans","PG"
"LaDontae Henton","SF"
"Milos Teodosic","PG"
"Sindarius Thornwell","SF"
"Jamil Wilson","SF"
"Lonzo Ball","PG"
"V.J. Beachem","SF"
"Vander Blue","SG"
"Thomas Bryant","C"
"Josh Hart","SF"
"Kyle Kuzma","C"
"Josh Jackson","SF"
"Mike James","PG"
"Peter Jok","SF"
"Elijah Millsap","SF"
"Alec Peters","PF"
"Davon Reed","SG"
"Bogdan Bogdanovic","SF"
"Jack Cooley","C"
"De'Aaron Fox","PG"
"Harry Giles","C"
"Justin Jackson","PF"
"Matt Jones","SG"
"Frank Mason","PG"
"Brandon Ashley","PF"
"Gian Clavell","SG"
"PJ Dozier","PG"
"Maximilian Kleber","C"
"Johnathan Motley","C"
"Dennis Smith Jr.","PG"
"Maalik Wayns","PG"
"Isaiah Hartenstein","PF"
"Cameron Oliver","PF"
"Zhou Qi","PF"
"Dillon Brooks","SF"
"Mario Chalmers","PG"
"Ivan Rabb","C"
"Kobi Simmons","PG"
"Rade Zagorac","SF"
"Charles Cooke","SG"
"Jordan Crawford","SG"
"Frank Jackson","PG"
"Perry Jones","SF"
"Darius Miller","SF"
"Jaron Blossomgame","SF"
"London Perrantes","PG"
"Derrick White","PG"
"Milton Doyle","SG"
"Akil Mitchell","SG"
"Jeremy Senglin","G"
"Emeka Okafor","C"
