"pick_rank","player_name","year"
"25","Shannon Brown","2006"
"26","Jordan Farmar","2006"
"27","Sergio Rodríguez","2006"
"28","Maurice Ager","2006"
"29","Mardy Collins","2006"
"30","Joel Freeland","2006"
"31","James White","2006"
"32","Steve Novak","2006"
"33","Solomon Jones","2006"
"34","Paul Davis","2006"
"35","P.J. Tucker","2006"
"36","Craig Smith","2006"
"37","Bobby Jones","2006"
"38","Kosta Perović","2006"
"39","David Noel","2006"
"40","Denham Brown","2006"
"41","James Augustine","2006"
"42","Daniel Gibson","2006"
"43","Marcus Vinicius","2006"
"44","Lior Eliyahu","2006"
"45","Alexander Johnson","2006"
"46","Dee Brown","2006"
"47","Paul Millsap","2006"
"48","Vladimir Veremeenko","2006"
"49","Leon Powe","2006"
"50","Ryan Hollins","2006"
"51","Cheikh Samb","2006"
"52","Guillermo Díaz","2006"
"53","Yotam Halperin","2006"
"54","Hassan Adams","2006"
"55","Ejike Ugboaja","2006"
"56","Edin Bavčić","2006"
"57","Loukas Mavrokefalidis","2006"
"58","J.R. Pinnock","2006"
"59","Damir Markota","2006"
"60","Will Blalock","2006"
"1","Greg Oden","2007"
"2","Kevin Durant","2007"
"3","Al Horford","2007"
"4","Mike Conley","2007"
"5","Jeff Green","2007"
"6","Yi Jianlian","2007"
"7","Corey Brewer","2007"
"8","Brandan Wright","2007"
"9","Joakim Noah","2007"
"10","Spencer Hawes","2007"
"11","Acie Law","2007"
"12","Thaddeus Young","2007"
"13","Julian Wright","2007"
"14","Al Thornton","2007"
"15","Rodney Stuckey","2007"
"16","Nick Young","2007"
"17","Sean Williams","2007"
"18","Marco Belinelli","2007"
"19","Javaris Crittenton","2007"
"20","Jason Smith","2007"
"21","Daequan Cook","2007"
"22","Jared Dudley","2007"
"23","Wilson Chandler","2007"
"24","Rudy Fernández","2007"
"25","Morris Almond","2007"
"26","Aaron Brooks","2007"
"27","Arron Afflalo","2007"
"28","Tiago Splitter","2007"
"29","Alando Tucker","2007"
"30","Petteri Koponen","2007"
"31","Carl Landry","2007"
"32","Gabe Pruitt","2007"
"33","Marcus Williams","2007"
"34","Nick Fazekas","2007"
"35","Glen Davis","2007"
"36","Jermareo Davidson","2007"
"37","Josh McRoberts","2007"
"38","Kyrylo Fesenko","2007"
"39","Stanko Barać","2007"
"40","Sun Yue","2007"
"41","Chris Richard","2007"
"42","Derrick Byars","2007"
"43","Adam Haluska","2007"
"44","Reyshawn Terry","2007"
"45","Jared Jordan","2007"
"46","Stéphane Lasme","2007"
"47","Dominic McGuire","2007"
"48","Marc Gasol","2007"
"49","Aaron Gray","2007"
"50","Renaldas Seibutis","2007"
"51","JamesOn Curry","2007"
"52","Taurean Green","2007"
"53","Demetris Nichols","2007"
"54","Brad Newley","2007"
"55","Herbert Hill","2007"
"56","Ramon Sessions","2007"
"57","Sammy Mejia","2007"
"58","Georgios Printezis","2007"
"59","D.J. Strawberry","2007"
"60","Milovan Raković","2007"
"1","Derrick Rose","2008"
"2","Michael Beasley","2008"
"3","O.J. Mayo","2008"
"4","Russell Westbrook","2008"
"5","Kevin Love","2008"
"6","Danilo Gallinari","2008"
"7","Eric Gordon","2008"
"8","Joe Alexander","2008"
"9","D.J. Augustin","2008"
"10","Brook Lopez","2008"
"11","Jerryd Bayless","2008"
"12","Jason Thompson","2008"
"13","Brandon Rush","2008"
"14","Anthony Randolph","2008"
"15","Robin Lopez","2008"
"16","Marreese Speights","2008"
"17","Roy Hibbert","2008"
"18","JaVale McGee","2008"
"19","J.J. Hickson","2008"
"20","Alexis Ajinça","2008"
"21","Ryan Anderson","2008"
"22","Courtney Lee","2008"
"23","Kosta Koufos","2008"
"24","Serge Ibaka","2008"
"25","Nicolas Batum","2008"
"26","George Hill","2008"
"27","Darrell Arthur","2008"
"28","Donté Greene","2008"
"29","D.J. White","2008"
"30","J.R. Giddens","2008"
"31","Nikola Peković","2008"
"32","Walter Sharpe","2008"
"33","Joey Dorsey","2008"
"34","Mario Chalmers","2008"
"35","DeAndre Jordan","2008"
"36","Ömer Aşık","2008"
"37","Luc Mbah a Moute","2008"
"38","Kyle Weaver","2008"
"39","Sonny Weems","2008"
"40","Chris Douglas-Roberts","2008"
"41","Nathan Jawai","2008"
"42","Sean Singletary","2008"
"43","Patrick Ewing","2008"
"44","Ante Tomić","2008"
"45","Goran Dragić","2008"
"46","Trent Plaisted","2008"
"47","Henry Walker","2008"
"48","Malik Hairston","2008"
"49","Richard Hendrix","2008"
"50","DeVon Hardin","2008"
"51","Shan Foster","2008"
"52","Darnell Jackson","2008"
"53","Tadija Dragićević","2008"
"54","Maarty Leunen","2008"
"55","Mike Taylor","2008"
"56","Sasha Kaun","2008"
"57","James Gist","2008"
"58","Joe Crawford","2008"
"59","Deron Washington","2008"
"60","Semih Erden","2008"
"1","Blake Griffin","2009"
"2","Hasheem Thabeet","2009"
"3","James Harden","2009"
"4","Tyreke Evans","2009"
"5","Ricky Rubio","2009"
"6","Jonny Flynn","2009"
"7","Stephen Curry","2009"
"8","Jordan Hill","2009"
"9","DeMar DeRozan","2009"
"10","Brandon Jennings","2009"
"11","Terrence Williams","2009"
"12","Gerald Henderson","2009"
"13","Tyler Hansbrough","2009"
"14","Earl Clark","2009"
"15","Austin Daye","2009"
"16","James Johnson","2009"
"17","Jrue Holiday","2009"
"18","Ty Lawson","2009"
"19","Jeff Teague","2009"
"20","Eric Maynor","2009"
"21","Darren Collison","2009"
"22","Victor Claver","2009"
"23","Omri Casspi","2009"
"24","Byron Mullens","2009"
"25","Rodrigue Beaubois","2009"
"26","Taj Gibson","2009"
"27","DeMarre Carroll","2009"
"28","Wayne Ellington","2009"
"29","Toney Douglas","2009"
"30","Christian Eyenga","2009"
"31","Jeff Ayres","2009"
"32","Jermaine Taylor","2009"
"33","Dante Cunningham","2009"
"34","Sergio Llull","2009"
"35","DaJuan Summers","2009"
"36","Sam Young","2009"
"37","DeJuan Blair","2009"
"38","Jon Brockman","2009"
"39","Jonas Jerebko","2009"
"40","Derrick Brown","2009"
"41","Jodie Meeks","2009"
"42","Patrick Beverley","2009"
"43","Marcus Thornton","2009"
"44","Chase Budinger","2009"
"45","Nick Calathes","2009"
"46","Danny Green","2009"
"47","Henk Norel","2009"
"48","Taylor Griffin","2009"
"49","Sergiy Gladyr","2009"
"50","Goran Suton","2009"
"51","Jack McClinton","2009"
"52","A.J. Price","2009"
"53","Nando De Colo","2009"
"54","Robert Vaden","2009"
"55","Patty Mills","2009"
"56","Ahmad Nivins","2009"
"57","Emir Preldžić","2009"
"58","Lester Hudson","2009"
"59","Chinemelu Elonu","2009"
"60","Robert Dozier","2009"
"1","John Wall","2010"
"2","Evan Turner","2010"
"3","Derrick Favors","2010"
"4","Wesley Johnson","2010"
"5","DeMarcus Cousins","2010"
"6","Ekpe Udoh","2010"
"7","Greg Monroe","2010"
"8","Al-Farouq Aminu","2010"
"9","Gordon Hayward","2010"
"10","Paul George","2010"
"11","Cole Aldrich","2010"
"12","Xavier Henry","2010"
"13","Ed Davis","2010"
"14","Patrick Patterson","2010"
"15","Larry Sanders","2010"
"16","Luke Babbitt","2010"
"17","Kevin Séraphin","2010"
"18","Eric Bledsoe","2010"
"19","Avery Bradley","2010"
"20","James Anderson","2010"
"21","Craig Brackins","2010"
"22","Elliot Williams","2010"
"23","Trevor Booker","2010"
"24","Damion James","2010"
"25","Dominique Jones","2010"
"26","Quincy Pondexter","2010"
"27","Jordan Crawford","2010"
"28","Greivis Vásquez","2010"
"29","Daniel Orton","2010"
"30","Lazar Hayward","2010"
"31","Tibor Pleiß","2010"
"32","Dexter Pittman","2010"
"33","Hassan Whiteside","2010"
"34","Armon Johnson","2010"
"35","Nemanja Bjelica","2010"
"36","Terrico White","2010"
"37","Darington Hobson","2010"
"38","Andy Rautins","2010"
"39","Landry Fields","2010"
"40","Lance Stephenson","2010"
"41","Jarvis Varnado","2010"
"42","Da'Sean Butler","2010"
"43","Devin Ebanks","2010"
"44","Jerome Jordan","2010"
"45","Paulo Prestes","2010"
"46","Gani Lawal","2010"
"47","Tiny Gallon","2010"
"48","Latavious Williams","2010"
"49","Ryan Richards","2010"
"50","Solomon Alabi","2010"
"51","Magnum Rolle","2010"
"52","Luke Harangody","2010"
"53","Pape Sy","2010"
"54","Willie Warren","2010"
"55","Jeremy Evans","2010"
"56","Hamady N'Diaye","2010"
"57","Ryan Reid","2010"
"58","Derrick Caracter","2010"
"59","Stanley Robinson","2010"
"60","Dwayne Collins","2010"
"1","Kyrie Irving","2011"
"2","Derrick Williams","2011"
"3","Enes Kanter","2011"
"4","Tristan Thompson","2011"
"5","Jonas Valančiūnas","2011"
"6","Jan Veselý","2011"
"7","Bismack Biyombo","2011"
"8","Brandon Knight","2011"
"9","Kemba Walker","2011"
"10","Jimmer Fredette","2011"
"11","Klay Thompson","2011"
"12","Alec Burks","2011"
"13","Markieff Morris","2011"
"14","Marcus Morris","2011"
"15","Kawhi Leonard","2011"
"16","Nikola Vučević","2011"
"17","Iman Shumpert","2011"
"18","Chris Singleton","2011"
"19","Tobias Harris","2011"
"20","Donatas Motiejūnas","2011"
"21","Nolan Smith","2011"
"22","Kenneth Faried","2011"
"23","Nikola Mirotić","2011"
"24","Reggie Jackson","2011"
"25","MarShon Brooks","2011"
"26","Jordan Hamilton","2011"
"27","JaJuan Johnson","2011"
"28","Norris Cole","2011"
"29","Cory Joseph","2011"
"30","Jimmy Butler","2011"
"31","Bojan Bogdanović","2011"
"32","Justin Harper","2011"
"33","Kyle Singler","2011"
"34","Shelvin Mack","2011"
"35","Tyler Honeycutt","2011"
"36","Jordan Williams","2011"
"37","Trey Thompkins","2011"
"38","Chandler Parsons","2011"
"39","Jeremy Tyler","2011"
"40","Jon Leuer","2011"
"41","Darius Morris","2011"
"42","Dāvis Bertāns","2011"
"43","Malcolm Lee","2011"
"44","Charles Jenkins","2011"
"45","Josh Harrellson","2011"
"46","Andrew Goudelock","2011"
"47","Travis Leslie","2011"
"48","Keith Benson","2011"
"49","Josh Selby","2011"
"50","Lavoy Allen","2011"
"51","Jon Diebler","2011"
"52","Vernon Macklin","2011"
"53","DeAndre Liggins","2011"
"54","Milan Mačvan","2011"
"55","E'Twaun Moore","2011"
"56","Chukwudiebere Maduabum","2011"
"57","Targuy Ngombo","2011"
"58","Ater Majok","2011"
"59","Ádám Hanga","2011"
"60","Isaiah Thomas","2011"
"1","Anthony Davis","2012"
"2","Michael Kidd-Gilchrist","2012"
"3","Bradley Beal","2012"
"4","Dion Waiters","2012"
"5","Thomas Robinson","2012"
"6","Damian Lillard","2012"
"7","Harrison Barnes","2012"
"8","Terrence Ross","2012"
"9","Andre Drummond","2012"
"10","Austin Rivers","2012"
"11","Meyers Leonard","2012"
"12","Jeremy Lamb","2012"
"13","Kendall Marshall","2012"
"14","John Henson","2012"
"15","Maurice Harkless","2012"
"16","Royce White","2012"
"17","Tyler Zeller","2012"
"18","Terrence Jones","2012"
"19","Andrew Nicholson","2012"
"20","Evan Fournier","2012"
"21","Jared Sullinger","2012"
"22","Fab Melo","2012"
"23","John Jenkins","2012"
"24","Jared Cunningham","2012"
"25","Tony Wroten","2012"
"26","Miles Plumlee","2012"
"27","Arnett Moultrie","2012"
"28","Perry Jones","2012"
"29","Marquis Teague","2012"
"30","Festus Ezeli","2012"
"31","Jeffery Taylor","2012"
"32","Tomáš Satoranský","2012"
"33","Bernard James","2012"
"34","Jae Crowder","2012"
"35","Draymond Green","2012"
"36","Orlando Johnson","2012"
"37","Quincy Acy","2012"
"38","Quincy Miller","2012"
"39","Khris Middleton","2012"
"40","Will Barton","2012"
